date,Close
2022-07-01,7.0
2022-07-04,7.0
2022-07-05,7.25
2022-07-06,7.4
2022-07-07,7.35
2022-07-08,7.25
2022-07-11,7.2
2022-07-12,7.2
2022-07-13,7.1
2022-07-14,7.1
2022-07-15,7.1
2022-07-18,7.15
2022-07-19,7.2
2022-07-20,7.25
2022-07-21,7.3
2022-07-22,7.3
2022-07-25,7.2
2022-07-26,7.2
2022-07-27,7.25
2022-07-28,7.2
2022-07-29,7.2
2022-08-01,7.25
2022-08-02,7.6
2022-08-03,7.4
2022-08-04,7.45
2022-08-05,7.45
2022-08-08,7.35
2022-08-10,7.25
2022-08-11,7.2
2022-08-12,7.2
2022-08-16,7.2
2022-08-17,7.3
2022-08-18,7.4
2022-08-19,7.3
2022-08-22,7.3
2022-08-23,7.25
2022-08-24,7.25
2022-08-25,7.6
2022-08-26,7.65
2022-08-29,7.5
2022-08-30,7.55
2022-09-01,7.55
2022-09-02,7.5
2022-09-05,7.75
2022-09-06,7.7
2022-09-07,7.95
2022-09-08,8.0
2022-09-09,8.0
2022-09-12,7.95
2022-09-13,7.9
2022-09-14,8.0
2022-09-15,9.55
2022-09-16,9.35
2022-09-19,9.6
2022-09-20,9.5
2022-09-21,9.3
2022-09-22,9.3
2022-09-23,9.0
2022-09-26,8.7
2022-09-27,8.7
2022-09-28,8.6
2022-09-29,8.55
2022-09-30,8.75
2022-10-03,8.55
2022-10-04,8.85
2022-10-06,9.2
2022-10-07,9.15
2022-10-10,9.1
2022-10-11,9.05
2022-10-12,9.0
2022-10-13,8.9
2022-10-14,8.85
2022-10-17,8.95
2022-10-18,9.15
2022-10-19,9.3
2022-10-20,9.65
2022-10-21,10.25
2022-10-24,10.9
2022-10-25,12.1
2022-10-27,12.75
2022-10-28,12.2
2022-10-31,12.6
2022-11-01,12.65
2022-11-02,12.65
2022-11-03,13.55
2022-11-04,13.65
2022-11-07,13.9
2022-11-09,13.7
2022-11-10,13.2
2022-11-11,13.25
2022-11-14,13.05
2022-11-15,12.8
2022-11-16,13.25
2022-11-17,13.25
2022-11-18,13.35
2022-11-21,13.7
2022-11-22,13.5
2022-11-23,13.65
2022-11-24,13.7
2022-11-25,14.85
2022-11-28,14.95
2022-11-29,16.1
2022-11-30,15.5
2022-12-01,15.45
2022-12-02,15.4
2022-12-05,16.55
2022-12-06,16.85
2022-12-07,16.55
2022-12-08,16.65
2022-12-09,16.65
2022-12-12,17.0
2022-12-13,17.95
2022-12-14,18.5
2022-12-15,18.95
2022-12-16,17.85
2022-12-19,17.4
2022-12-20,17.2
2022-12-21,16.15
2022-12-22,15.6
2022-12-23,14.25
2022-12-26,16.25
2022-12-27,16.6
2022-12-28,16.5
2022-12-29,16.6
2022-12-30,17.25
2023-01-02,17.7
